Unit,Affiliation,Audio-video,Battalion,Bibliography Attachment,Book,Brigade,Command,Company,Competing Units,Date,Date Dissolved,Designation - Primary,Designation Secondary,Dissolve Trigger,Division,Duration of Service,Fate,Final Affiliation,Formation Date,Formation Trigger,HEBREW,IDF INDIVIDUALS,Individuals Glossary copy,Individuals1,Individuals2,Inspired by,Level of Conflict,Location,Number of Soldiers Formed,Number of Soldiers Later,Operational Attributes,Operations,Organizational Attributes,Predecessor,Predecessor Unit,Prestige,Prestige Cultivation,Profession,Reference,Reference 1,References,Regional Command,Role,Selection,Size,Size Formed,Sub-Unit,Successor,Successor Unit,TOC,Tactics,Tags,Training,Training Attributes,URL,Unit 1,Vehicles,Wars and Operations,Weapons,"Year Disbanded ",Year Established,כותרת אנליטית
Paratroopers Reconnaissance Battalion 5135,"Infantry, Paratroopers Brigade 35",,,,,,Center,,,,,"להוביל את חטיבות החי""ר במוכנות ללחימה הקונבנציונאלית ובלחימה היום יומית בשטחי איו""ש ואזח""ע.","אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,Restructured,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,"גדס""ר צנחנים 5135 גדוד שרף",Matan Vilnai (https://www.notion.so/Matan-Vilnai-720e0d2c7ca440be9cf52441e9e85376?pvs=21),,,,,,,,,,,,Paratroopers Reconnaissance Battalion (Gadsar),חטיבת הצנחנים,,,,,,,,Reconnaissance Battalion,,Battalion,,,Paratroopers Reconnaissance Battalion (Gadsar),,,,,"12 חודשים ",,,,,,,2020,2002,
Nodedet in Jerusalem Kiryat Anavim,Haganah,,,,,,Jerusalem,,,,,הגנה דינאמית,,מעבר לפלוגות השדה,,,,Haganah,,המרד הערבי,הנודדת בירושלים,Eliyahu Ben-Hur (https://www.notion.so/Eliyahu-Ben-Hur-a2f965e5fcf74f0386e71500d3dfeec3?pvs=21),Yitzhak Sadeh,Eliyahu Ben-Hur,"צבי ספקטור, ישראל בן יהודה (עבדו)",,נמוכה,בית וגן,,,הגנה דינאמית,,מיליציה,Nodedet,הנודדת,,,,,,,ירושלים,Preventive,חברי קבוצת היכון,,,,Mobile Guard,,15,"מארב והסתערות, מעבר מהגנה סטטית על השכונה לשיטת מארבים על הדרך אל השכונה וכן ירי אפקטיבי לעבר בסיס האויב בעין כרם",,,,,,טנדרים,,"תתי מקלע רימונים ",1939,1936,
Shimshon 367,"Regional, Southern Command",,,,,,South,,,,,,,,,,Dissolved,,,,שמשון,,,,,,,,,,,,,Shimshon (Unit 367),,,,,,,,,CT,,,,,,,36,,,,,,,,,,1996,1987,
"Haganah ",,,,,,,,,,"June 15, 1920",,,בניין כוח צבאי,הקמת המדינה,,,,,,"בתחילת חודש מרס הותקפה תל-חי ושישה ממגיניה נהרגו, ובראשם המפקד יוסף טרומפלדור. לאחר כמה שבועות פרצו מהומות דמים בירושלים (""מאורעות תר""ף - 1920"")",ההגנה,,,"חיים שטורמן, ירחמיאל לוקצ'ר ויהושע אייזיק",,הפעולות של גרמניה במזרח אפריקה בשנות העשרים ובעיקר מאלה של פאול פון לטו-פורבק,,,,,,,,HaShomer,השומר,,,,,,,,,,,,,IDF,"צה""ל",14,,,,,,,,,,1948,1920,
Bomb Disposal Unit 1970,"Engineering, Yahalom",,,,,,General,,,,,"ניטרול מטענים במבנים, סילוק תחמושת, פירוק מטענים מתוחכמים, ראשי קרב של טילים",,,,,,,,"הכרה של הרמטכ""ל בסלק כמקצוע ייחודי התנדבותי דוגמת טייס או צוללן","יחס""פ - ס""פ",,,מאיר סברייגו,יוסי רפאלוב,,,,,,,,,Bomb Disposal Unit 1970,"יחס""פ",,,סלק,,,,עזה,Bomb disposal,,,,,Bomb Disposal Unit 1970,,,,,,,,,,,,1995,1970,
7 Armor Reconnaissance Company,"Armor, Northern Command",,,,,,North,,,,,"איתור ונטרול מארבים וכוחות אויב, פתיחת הציר לפני החטיבה",איסוף מודיעין קרבי,קרב החרמונית מלחמת יום כיפור,,רגיל,,,,,,,,,,,גבוהה,,,,,,,Golani 19 Battalion,חטיבה 7,בינונית,,,,,,,Armor Reconnaissance,,Company,,,9 Armored Brigade,"פלס""ר 7, 401, 188",,,,,,,,ג'יפים,"מלחמת העצמאות, מלחמת ששת הימים, מלחמת יום-כיפור","נשק חי""ר",,1948,
"Northern Command ",IDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Command,,,,,,,,,,,,,,,,1948,
Counterterrorism school,"99 Division - The Maneuver Formation, Infantry, Marom",,,,,,Center,,,,,"הכשרה בתחומי לוט""ר, הסוואה, טג""ח, צלפים, קליעה",פעילות מבצעית עם יחידות אחרות,,,,,,,,"לוט""ר",,,עמוס קוצר,,,,,,,,,,Counterterrorism school,,,,,,,,מתקן אדם,CT,"מאז הקמת חטיבת כפיר, התגייסות לחטיבה וגיבוש",,,,Counterterrorism school,,,,,,,,,,,,,1974,
Sayeret Egoz 483,"Northern Command, Regional",,,,,,North,,,,,"כוח סיור להיערכות הגנתית, משימות ביטחון שוטף עיקוב וגישוש מניעת חדירות של חוליות פתח מגבול הצפון.",יחידת עלית שתהיה זמינה באופן קבוע ובעלת היכרות מעמיקה עם הגיזרה,פירוק הסיירות הפיקודיות,,,,,,החלטת הפיסגה הערבית על הטיית מי הירדן אבטחת המוביל הארצי,סיירת אגוז 483,,,חיים סלע,אבי תלם,,נמוכה,מחנה שנלר – הוילה בנצרת,,,,,,Sayeret Egoz 483,,,,,,,,צפון,Preventive,יחידה התנדבותית,,,,Sayeret Egoz 483,,,,,טירונות בגולני קורס סיור,"הלוחמים עברו טירונות בגולני ועברו ליחידה לקורס סיור עם תום הקורס קיבלו הלוחמים סמל 'כנפי אגוז'. לאחר מכן הם חזרו לגולני לקורס מ""כים. הם עברו גם קורס צניחה. רבים נשלחו לקורסים מקצועיים נהיגה, חובשים, חבלנים מד""סים",,,,,,1974,1963,
Intelligence Unit 504,Intelligence,,,,,,AMAN,,"מוסד, שב""כ",,,איסוף מידע מודיעיני באמצעות הפעלת סוכנים בקרבת גבולותיה של ישראל; חקירת שבויים שנופלים בשבי ישראל; מבצעים מיוחדים,,,,,,,,,יחידה 504,,,,"יהודה דנגורי, יהושע בר תקווה",,,,,,,,,Intelligence Unit 504,154,,,"קת""ם, קצין לתפקידים מיוחדים",,,,פרישה ארצית ובמדינות יעד,Operating agents,,,,,Intelligence Unit 504,,,"קת""מים מתלווים לפישטות של יחידות עלית מעבר לגבול",,,,,,,,,,1949,
Balnam 444,"99 Division - The Maneuver Formation, Marom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.idf.il/%d7%90%d7%aa%d7%a8%d7%99-%d7%99%d7%97%d7%99%d7%93%d7%95%d7%aa/%d7%96%d7%a8%d7%95%d7%a2-%d7%94%d7%99%d7%91%d7%a9%d7%94/%d7%9b%d7%9c-%d7%94%d7%9b%d7%aa%d7%91%d7%95%d7%aa/2021/%d7%91%d7%9c%d7%a0-%d7%9d-100-%d7%a9%d7%a2%d7%95%d7%aa-%d7%a2%d7%9c-%d7%94%d7%90%d7%9e%d7%a8-%d7%91%d7%9c%d7%91-%d7%9e%d7%93%d7%91%d7%a8-%d7%a0%d7%99%d7%95%d7%93-%d7%9e%d7%91%d7%a6%d7%a2%d7%99/,,,,,,,,,,,,,Balnam,,,https://www.idf.il/%D7%90%D7%AA%D7%A8%D7%99%D7%9D/%D7%96%D7%A8%D7%95%D7%A2-%D7%94%D7%99%D7%91%D7%A9%D7%94/2021/%D7%91%D7%9C%D7%A0%D7%9D-100-%D7%A9%D7%A2%D7%95%D7%AA-%D7%A2%D7%9C-%D7%94%D7%90%D7%9E%D7%A8-%D7%91%D7%9C%D7%91-%D7%9E%D7%93%D7%91%D7%A8-%D7%A0%D7%99%D7%95%D7%93-%D7%9E%D7%91%D7%A6%D7%A2%D7%99/,,,,,,2005,
ATM Recon Unit 70,Infantry,,,,,,,,,,,,,,,,,,,,"יחידת סיור נ""ט מס' 70",,,גד נגבי,,,גבוהה,,,,,,,ATM Recon Unit 70,דוכיפת,,,,,,,,,מילואים,,,,ATM Recon Unit 70,פלוגות העורב,,,,,,,,"רק""מ יעודי (רב""י ולאחר מכן רא""ם)",מלחמת יום כיפור מלחמת לבנון,טילי טאו,0,1968,
Natran,Artillery,,,,,,General,,,,,,,,,,,,,,יחידת נתרן - תותחנים מוסקים,,,,,,,,,,,,,Natran,,,,,,,,,Airborne Artillery,,,,,Natran,,,,,,,,,,,,1973,1973,
Senior General Staff Security Unit,,,,,,,General,,,,,,,,,,,,,,"צה""ל אבטחת אישים",,,,,,,,,,,,,Senior General Staff Security Unit,,,,,,,,,,,,,,Senior General Staff Security Unit,,,,,,,,,,,,,2001,
Commando Battalion 75 French Commando,"9 Brigade, Palmach",,,,,,South,,,,,,"אחרי המלחמה אבטחת גבולות מרחב הנגב; מארבים, מיקוש צירי תנועה",נטמע בגדוד הפשיטה התשיעי,,,,,,מלחמת השחרור,הקומנדו הצרפתי גדוד 75,,,טדי דיופרה (איתן),"יעקב דומבורובסקי, הרב פימה מימון",,גבוהה,,90 לוחמים 70 אנשי מנהלה,,,,,Commando Battalion 75 French Commando,,,,,,,,,Commando,גיוס עולים חדשים 90 מתוך 400 מגוייסים,Battalion,שתי מחלקות קומנדו ומחלקת מטה,,Commando Battalion 75 French Commando,התמזגה בגדוד 9,,,,,,,,,,"טומיגן, ברן, שפנדאו, חבלה, מטולי פיאט",1948,1948,
Reconnaissance Company 9th Battalion,"9 Battalion, Negev Brigade, Palmach",,,,,,South,,,,,"הפעלת זחלמ""ים עם תותחי 20 מ""מ כנגד משוריינים מצריים",,"הקמת צה""ל",,,,,"March 28, 1948",מלחמת השחרור,פלוגת סיור גדוד הפשיטה הממוכן 9,,Israel Carmi,ישראל כרמי,,,גבוה,שטח דפו ליד קיבוץ רוחמה,270 לוחמים,,,,"חיר""ם",Reconnaissance Company 9th Battalion,"פלמ""ח",,,,,,,,,,,2 יחידות,,Reconnaissance Company 9th Battalion,חטיבה 7 חיל השריון,,,,,,,,"ג'יפים, זחלים",,,1948,1948,
Unit Daya,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2018,
Bat (ATALEF) Unit,"Regional, Sayeret Shaked 424, Southern Command",,,,,,South,,,,,,,,,,,,,,יחידת עטלף,,,,,,,,,,,,,Sayeret Shaked 424,,,,,,,,,Optical observations,,,,,Bat (ATALEF) Unit,,,,,,,,,,,,1966,1966,
Special Operations Unit,Haganah,,,,,,Center,,,,,מאבק בבריטים,,פרוץ מלחמת העולם השניה,,,,Haganah,,פרסום הספר הלבן,"יחידה מיוחדת לפעולות מיוחדות פו""ם ","Yitzhak Sadeh (https://www.notion.so/Yitzhak-Sadeh-44483e3a2aae40ff9d8f94f41b34eabe?pvs=21), מוניה מרדור (מאיר/מרדכי מרדור) (https://www.notion.so/4cec0311418e4410b2b0024e5a4e57d6?pvs=21)",Yitzhak Sadeh,יצחק שדה,"מוניה מרדור, חיים לסקוב, אברהם נגב",,נמוכה,,,,הגנה דינאמית,,מיליציה,Filed Companies,פלוגות השדה,,,,,,,פרישה ארצית,Clandestine,,,,,Palmach,,15,,,,,,,,,,1941,1939,
"Nitzan 636 ",Field Intelligence,,,,,,Center,,,,,ויזינט - מודיעין קרבי,,,,,,,,,,,,,,,,,,,,,,The Nitzan 636,,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",גדה מערבית,Visint,,Platoon,,,The Nitzan 636,,,,,,,,,,,,0,2000,
Shaked Chameleon Zikit,"Regional, Southern Command",,,,,,Gaza,,,,,המנעה הסתערבות,,,,,,Granade Rimon,,"התגברות פח""ע ברצועת עזה",זיקית,,,משה רובין,,,נמוכה,,,,,,,Sayeret Shaked 424,שקד,,,,,,,דרום,Preventive,לוחמים ותיקים בשקד,,,,Sayeret Shaked 424,,,"ניווטים, לש""ב אקדחים ונשק אוטומאטי, סכינים, טכניקות הסתערבות",,,,,,"כלי רכב מקומיים, מוניות",,אקדחים,1970,1970,
Oketz Unit  Canine Special Forces 7142,"99 Division - The Maneuver Formation, Infantry, Marom",,,,,,Center,,,,,הפעלה ואימון כלבים למשימות לחימה ייעודיות בכל הגזרות ובמיוחד בשטחים. המטרה המבצעית של יחידת עוקץ היא סיכול טרור ומניעת פגיעה בכוחותינו,,,,,,,,התגברות הטרור,עוקץ,,,,,,,סירקין,,,,,,Oketz Unit  Canine Special Forces 7142,,,,,,,,,Canine,גיבוש חטיבת כפיר,,,,Oketz Unit  Canine Special Forces 7142,,,,,שמונה עשר חודשים,"רובאי 7 וכן ניווט, לוחמה בטרור, לש""ב ולוחמה בשטח סבוך",,,,,,,1974,
Jewish Paratroops🇬🇧,British Army,,,,,,Europe,,,,,החדרת סוכנים של ההגנה לשטחי כיבוש נאצים,,,,,,"British Army, Palmach",,מלחמת העולם השניה,צנחני הישוב,,,דן לנר,"חנה סנש, חביבה רייק, חיים אנצו סירני, חיים יערי ולנדר",,גבוהה,רמת דוד,240 מתנדבים 110 התקבלו,,מודיעין/לוחמה זעירה,,שילוב,"The Balkan Platoon, The German Platoon","פלמ""ח, הבריגדה היהודית",,,,,,,דרום מזרח אירופה,Commando,מתנדבים יוצאי ארצות הכיבוש,,,,,,,"צניחה, קריאת מפות ואימון בשיטות פעולה של קומנדו ומחתרת",,,,,,,,,1944,1944,
Maglan 212,"89 Oz Brigade, ATM",,,,,,Center,,,,,"נ""ט",,,,,"Merged, The 89th Oz Brigade",OZ 89 Brigade,,לקחי מלחמת יום הכיפורים,מגלן 212,Doron Rubin (https://www.notion.so/Doron-Rubin-c839c03af673420e84fad9d6a66dd646?pvs=21),,,,,מלחמה קונבנציונאלית,,,,,,,Maglan 212,,,,,,,,,ATGM,בשלב הראשון פליטי צנחנים בפברואר 1968 התחיל גיוס ישיר,,,,Maglan 212,,"39,37",,,,,,,,,,,1986,
Palmach,"British Army, Haganah",,,,,,,,הבריגדה היהודית,,,הגנה על היישוב נוכח התקדמות הצבא הגרמני לפלשתינה,בסיס לצבא,"הקמת צה""ל",,,,Haganah,,מלחמת העולם השניה,"פלמ""ח","Yigal Allon (https://www.notion.so/Yigal-Allon-7bb5ae48ec6147d7a7f58493b390bd63?pvs=21), Yitzhak Rabin (https://www.notion.so/Yitzhak-Rabin-db05b8d9189e4440bf86606575467ff2?pvs=21), Yitzhak Sadeh (https://www.notion.so/Yitzhak-Sadeh-44483e3a2aae40ff9d8f94f41b34eabe?pvs=21)",,Yitzhak Landoberg Sadeh,"יגאל אלון, משה דיין",,נמוכה גבוהה,,300,,,,מיליציה,Filed Companies,"הגנה, נודדת, פו""ש",גבוהה,גבוהה רוח היחידה כמכשיר גיוס היחידות המיוחדות כמשיר מגייס,,,,,,,"ראשוני הפלמ""ח היו אנשי הנודדת והפו""ש",,,,IDF,"צה""ל",16,"בימיו הראשונים נקבע כי הפלמ""ח יתמקד בלוחמה זעירה, פעולות סיור, חבלה גישוש ותקיפה",,שבוע אימונים אחת לחודש,,,,,,,1948,1941,
Border Police Reconnaissance Unit - North,"Police, SAMAG",,,,,,North,,,,,,,,,,,,,,סיירת מגב צפון,,,,,,,,,,,,,Israeli Police Border Reconnaisance - North,,,,,,,,,Reconnaissance,,,,,Israeli Police Border Reconnaisance - North,,,,,,,,,,,,0,1982,
" Nitzan Target Field Intelligence Unit 636",Field Intelligence,,,,,,North,,,,,"Special combat intelligence missions include locating terrorists, and means of warfare of terrorist organizations, building a bank of targets for emergencies and war and eliminating targets while using various firefighting forces used by the IDF.",,Assimilation in the 869th Seagull Battalion in the Galilee Division,,,,Division 36,,מתן מודיעין בזמן-אמת לכוחות הפועלים והכוונת אש לעבר אויב בדרום לבנון,"יחידת מודיעין מטרות יחמ""מ",,,סגן-אלוף יוסי גרינפלד,,,,"Mattat 33.040408, 35.354847",,,,,,Nitzan Target Field Intelligence Unit,,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",North,Intelligence Field,"Health Profile 97; High Test Scores, Interviews.
Recruitment to the 869th Battalion two weeks selection course",,,,Battalion 869,,,,,,"Navigation, camouflage, specialization in dedicated means, open and built-up area combat, journeys with heavy weights, schedule (miniature warfare), observation, directions, reconnaissance and intelligence, combat training and advanced training (20 weeks of training and another 24 weeks of advanced training, total 44 Initial training weeks) are held at the Combat Collection School in the Rangers Valley in the south of the country, unit training and phase B are carried out at the unit's mother base in the Upper Galilee",,,,,,2000,1993,
Palyam Sea Company,"Palmach, Palyam",,,,,,Navy,,,,,סיוע למעפילים,פעילות חבלה נגד מטרות ערביות במהלך מלחמת השחרור,"פירוק הפלמ""ח",,,,,,המגבלות של הבריטים על העליה,"פלי""מ - החוליה לחבלה ימית",,,יוחאי בן-נון,,,נמוכה גבוהה,שדות ים קיסריה,,,לוחמה זעירה,,מיליציה,Palyam Sea Company,"פלמ""ח הגדוד הרביעי",,"גבוהה, בני מרשק, חיים חפר, דן בן אמוץ",,,,,,Naval,,,,,Flotilla 13,"השירות הימי, שייטת 13",,,,,,,,,,,1948,1945,
Sky Rider Unit 5353,162 Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units%20January%202026/_.pdf,,,,,,,,,,,,,,,,,,,,,,2010,
Paratroopers Engineer Company 505 - Coluber,Infantry,,,,,,Center,,,,,"פשיטות חבלה בעורף האויב וכן כל מבצע הנדסי רכוב, רגלי או מוצנח.","בט""ש",,,,,,,,"פלחה""ן צנחנים",Yitzhak Mordechai (https://www.notion.so/Yitzhak-Mordechai-f08077a05b59459295f13b2647f1fd53?pvs=21),,מייק מיכאלי קיש,,,,,,,,,,Paratroopers Engineer Company,מחלקת חבלה מסגרת חטיבת המילואים 80,,,,,,,,Engineering,,,,,Paratroopers Engineer Company,"פלחה""ן במסגרת הגדס""ר",,,,,,,,,,,2002,1963,
The German Platoon,Palmach,,,,,,North,,,,,פעילות מודיעין וחבלה בשטחים כבושים על-ידי גרמניה וביחידות גרמניות בשירות הצבא הבריטי,"סיוע להעפלה, פעולות נקם בגרמנים",צירוף לבריגדה היהודית,,,,Palmach,,מלחמת העולם השניה,המחלקה הגרמנית,Shimon Avidan (https://www.notion.so/Shimon-Avidan-1c0a72abd49648fd8a8b79e2c55f3fae?pvs=21),,שמעון אבידן (קוך),"יהודה בן-חורין (בריגר), אהרון יריב (רבינוביץ'), אברי אלעד","קשה לקבוע, אנשיו של סקורנצי פעלו באופן דומה",גבוהה,משמר העמק,,,מודיעין/לוחמה זעירה,,מיליציה,,"הגנה, הצבא בריטי",,,,,,,,Clandestine,עולים ממרכז אירופה דוברי גרמנית כשפת אם,,,,The Balkan Platoon,,16,,,,,,,,,,1942,1941,
118 Squadron Nocturnal Birds of Prey Squadron,Air force,,,,,,Air Force,,,,,"חילוץ נפגעים, פינויים מקווי החזית ובמבצעים משולבים, תובלת סער",הטסת לוחמי יחידות עלית למבצעים בעומק שטח האויב,,,,,,,קליטת מסוקי יסעור,טייסת דורסי הלילה,,,,,,,,,,,,,118 Squadron Nocturnal Birds of Prey Squadron,מובילי הלילה,,,,,,,,Landing of forces,,,,,118 Squadron Nocturnal Birds of Prey Squadron,,,הפעלת מסוקי יסוער,,,,,,מסוקי יסעור,,,,1970,
Nahal Reconnaissance Platoon 150,"Regional, Southern Command",,,,,,South,,,,,"ליווי שיירות בנגב, סיורים בנגב מאבק במסתננים",,,,,,,,הרצח במעלה העקרבים,"סיירת נח""ל ערבה 150",Yossi Langotsky (https://www.notion.so/Yossi-Langotsky-8b8b3e4877ff4e1cb64f69b7dc377c17?pvs=21),,"יעקב ארנון, צבי לבנון",,,נמוכה,,90 לוחמים,,,,,Unit 30,,,,,,,,דרום,Preventive,,Platoon,חמש מחלקות,,"Airborne  Reconnaisance (890), Sayeret Shaked 424",נטמעה ב-890,20,,,,,,,"עשרים ג'יפים, עשרה קומנדקרים, מוס קל",,,1954,1954,
SAPIR,"Engineering, Yahalom",,,,,,,,,,,טיפול בתחמושת אוירית,,,,,,,,,"ספי""ר",,,,,,,,,,,,,,,,,סלק,,,,צפון,,,,,,,,,,,,,,,,,,0,1970,
Yatam (rapid response unit) the valleys,Central Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,
General Staff Visual Intelligence Unit - Mobile Company,Field Intelligence,,,,,,General,,,,,,,,,,,,,,"יחידת תצפיות מטכ""לית ניידת",,,,,,,,,,,,,"Sayeret Matkal 262 269, Visual Intelligence Unit 1973",,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps. P. 127","מטכ""לי",Visint,,,,,,,,,,,,,,,,,1980,1976,
Sayeret Yael Combat Engineering Reconnaissance,"Engineering, Yahalom",https://news.walla.co.il/item/2627668,,,,,General,,,,,"השמדת תשתיות אויב, כניסה חשאית ופילוס נתיבים בשדות מוקשים וזירות מטענים, מיקוש והטמנת מטענים, מעבר מכשולי מים, סיור ואיסוף מודיעין הנדסי, פריצת מכשולים","שימוש בחומרי חבלה בפעילות בט""ש",,,,"Merged, Yahalom",,,לקחי מבצע שלום הגליל,סיירת יעל,,,,,,גבוהה,,,,,,,Unit 630,אגד הצליחה של חיל ההנדסה,,,,,,,בעיקר צפון,Engineering,,,,,Yahalom,"יהל""ם",,"חי""ר, חבלה, הישרדות בתנאי שדה, לוחמה בטרור",,,,,,,,,0,1982,
Almagor,Field Intelligence,,,,,,North,,,,,,,,,,,,,,,,,,,,,,,,,,,Almagor,,,,,,,"Asher, Daniel 2013: Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,Visint,,Company,,,Almagor,,,,,,,,,,,,0,2000,
Nodedet Jordan Valley,Haganah,,,,,,Jordan Valley,,,,,הגנה מקומית,,,,,,Haganah,,,מחלקות נודדות,,,,,,נמוכה,,,,הגנה דינאמית,,מיליציה,Nodedet,ההגנה,,,,,,,תל-אביב,Preventive,בחירה על בסיס תעוזה ויכולת למלא משימות מגוונות,,"2 יחידות רכובות  ",,Nodedet,,,"אימוני שדה, רימוני יד, ירי ברובים ובמקלעים, האימונים היו מורכבים יותר מאלה של אנשי ה'שורה' בתל-אביב",,,,,,כלי רכב אישיים ואופנועים,,,1933,1931,
Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,
Unit 669 Airborne Rescue And Evacuation,"Air force, Wing 7",,,,,,Air Force,,,,,,,,,,,Command of the Special Air Forces,,,669,,,,,,,,,,,,,Unit 669 Airborne Rescue And Evacuation,,,,,,,,,SAR,,,,,Unit 669 Airborne Rescue And Evacuation,,"35,33",,,,,,,,,,0,1974,
Negev Animals 2 Beeri,"Negev Brigade, Palmach",,,,,,South,,,,,אבטחת קוו המים המערבי,,,,,,Palmach,,תכנית החלוקה,חיות הנגב מחלקת בארי,,,,,,,,"20 לוחמים ",,סיור/לוחמה זעירה,,מיליציה,Negev Animals 2 Beeri,"פלמ""ח",,עכברי המדבר,,,,,דרום גזרה מערבית,,הרזרבה של משקי עמק יזרעאל,Platoon,,,Negev Animals 2 Beeri,"פלוגת הסיור, גדוד 9, חטיבת הנגב",,,,,,,,,,,1948,1947,
Mobile Guard,Haganah,,,,,,North,,,,,הגנה על יישובים חקלאיים בעמק ובגליל,,,,,,Haganah,,המרד הערבי,המשמרות הנעים פלוגה נודדת ופלוגה מעופפת,,Yitzhak Sadeh,,,,נמוכה,,,,הגנה דינאמית,,מיליציה,Nodedet in Jerusalem,,,,,,,,,Preventive,,,,,Filed Companies,,,,,,,,,,,,1939,1937,
Negev Animals 1 Shiloni,"Negev Brigade, Palmach",,,,,,South,,,"December 20, 1947",,הגנה על קווי המים ועל הדרכים שבין היישובים,,,,,,Palmach,,תכנית החלוקה,חיות הנגב מחלקת שילוני,,,שמחה שילוני,דודק'ה מגן ,,נמוכה וגבוהה,,50 לוחמים,,סיור/לוחמה זעירה,,מיליציה,Negev Animals 1 Shiloni,"פלמ""ח, מ""ן",,"כינו את עצמם ""חיות הנגב"" והחליטו שהגמל יהיה סמלם",,,,,דרום משמר הנגב,,גיוס מילואים ררבה מחיפה,Platoon,,,Negev Animals 1 Shiloni,"פלוגת הסיור, גדוד 9, חטיבת הנגב",,,,,,,,"ג'יפים, משוריינים",מלחמת העצמאות איסדוד,"רובי אנפילד, תתי מקלע סטן ושני מקלעי ברן, מכשירי קשר",1948,1947,
Reconnaissance Battalion 87,Armor,,,,,,South,,,,,,,הגדוד נפגע קשות בקרבות החוה הסינית עד שחדל להתקיים,,,,,,,"גדס""ר 87 מילואים",,,"בנצי כרמלי, יואב ברום",,"פלס""ר 87 של חטיבה 8 במהלך מלחמת העצמאות",גבוהה,,,,,,,Reconnaissance Battalion 87,אוגדה 143,,,,,,,,Armor Reconnaissance,,,,,Reconnaissance Battalion 87,"פלס""ר חטיבת 421",,גדוד סיור משוריין,,,,,,,מלחמת יום כיפור,,1974,1973,
Givati Reconnaissance Battalion (Gadsar),"Givati Brigade 84, Infantry",,,,,,South,,,,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,"גדס""ר גבעתי גדוד שועלי שמשון",,,,"ון אשרוב, עופר וינטר, גיא ביטון, גור שרייבמן, חזי נחמה, אליעד מאור (מואטי)",,,,,,,,,Givati Reconnaissance Battalion (Gadsar),,,,,,,,,Reconnaissance Battalion,,Battalion,,,Givati Reconnaissance Battalion (Gadsar),,,,,,,,,,,,2020,2002,
Intelligence Unit 154 - Intelligence 10,Intelligence,,,,,,AMAN,,,,,"Humint, Intelligence Gathering, מודיעין",,,,,,,,,"יחידה 154 קת""מ מודיעין 10",,,דוד קרון,"אברהם ארנן, אברהם כהן, יעקב (ז'ק) צביה, רחביה ורדי, חיים שדמי",,גבוהה,,,,,,נמוכה,Intelligence Unit 154,"ש""י, שירות מודיעין 1",נמוכה,,,,,,פרישה ארצית ובמדינות יעד,HUMINT,,,,,"Intelligence Unit 504, Sayeret Matkal 262 269","סיירת מטכ""ל, 504",,"ליקוט מידע על צבאות ערב השכנים, נתוני שטח וידיעות על תשתית",,,,,,,,יומינט,,1949,
Nahal Reconnaissance Battalion (Gadsar),"Infantry, Nahal Brigade 933",,,,,,Center,,,,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,"גדס""ר נח""ל",,,,,,,,,,,,,Nahal Reconnaissance Battalion (Gadsar),,,,,,,,,Reconnaissance Battalion,,Battalion,,,Nahal Reconnaissance Battalion (Gadsar),,,,,,,,,,,,2020,2002,
Intelligence 132,Intelligence,,,,,,AMAN,,,,,,,,,,,,,,יחידה 132,,,,,,,,,,,,,Research 2,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1949,
