Name,Notes,Attachments,Predecessor,Successor,Affiliation,Year Established,Year Disbanded ,Branch,Command,Rrole,References,Bibliography Attachment,Bilbiography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,עוצמת קונפליקט,ייעוד עיקרי,ייעוד משני,בסיס,פיקוד,זרוע,הגדרת תפקיד,תנאי קבלה,תקופת הכשרה,הכשרה,טקטיקה,משך השירות,גודל הקמה,"סד""כ ראשוני",גודל בהמשך,"סד""כ בהמשך",נשק וציוד ייחודי,רכב,מלחמות מבצעים,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,TOC,Individuals Glossary copy
 Nitzan Target Field Intelligence Unit ,"יחידת מודיעין מטרות יחמ""מ",,Nitzan Target Field Intelligence Unit,Nitzan Target Field Intelligence Unit,,1993,2000,Field Intelligence,North,Intelligence Field,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,מתן מודיעין בזמן-אמת לכוחות הפועלים והכוונת אש לעבר אויב בדרום לבנון,טמיעה בגדוד שחף 869 באוגדת הגליל,,"ביצוע משימות מודיעין קרבי מיוחדות הכוללות ריגול ואיתור מחבלים, משת""פים ואמצעי לחימה של ארגוני הטרור, בניית בנק מטרות לעת חירום ומלחמה וכמו כן חיסול מטרות תוך הפעלת כוחות אש שונים בשימוש צה""ל.",,מחנה מתת,צפון,איסוף קרבי,,"פרופיל 97 קב""א גבוהה מיונים, ראיונות, גיוס לגדוד 869 מבחנים עיוניים ופיזיים במשך שבועיים בטרום טירונות",,"תכני ניווט, הסוואה, התמחות באמצעים ייעודיים, לוחמת שטח פתוח ובנוי, מסעות עם נשיאת משקלים כבדים (מסעות משקלים), לו""ז (לוחמה זעירה), תצפית, הכוונות, סיור ומודיעין קרבי הטירונות והאימון המתקדם (20 שבועות טירונות ועוד 24 שבועות אימון מתקדם, סך הכל 44 שבועות הכשרה ראשונית) מתקיימים בבית הספר לאיסוף קרבי בבקעת סיירים שבדרום הארץ, אימון יחידה ושלב ב' מתבצעים בבסיס האם של היחידה בגליל העליון",,,,,,,,,,,,,סגן-אלוף יוסי גרינפלד,,,,,,
Combat Engineering Reconnaissance Company 603,"מחס""ר להב 603 ",,Combat Engineering Reconnaissance Company 603,Combat Engineering Reconnaissance Company 603,,1993,,Engineering,North,,,,,,,,,,,גבוהה נמוכה,"סריקת שטח, איסוף מודיעין הנדסי","בט""ש",,,הנדסה,פלס-סייר,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,פלוגה,16 לוחמים,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",האמרים,,,,,,,,,,,
Counter-NBC and  Company,אנקור,,Counter-NBC and  Company,Counter-NBC and  Company,,1993,,Engineering,General,,,,,,,,,לקחי מלחמת המפרץ,,,"יחידת האב""כ הסדירה הראשונה בצה""ל",,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Engineering Reconnaissance Company 601,"מחס""ר אסף 601 ",,Combat Engineering Reconnaissance Company 601,Combat Engineering Reconnaissance Company 601,,1994,,Engineering,Center,Reconnaissance,,,,,,,,,,גבוהה נמוכה,"סריקת שטח, איסוף מודיעין הנדסי","בט""ש",,,הנדסה,פלס-סייר,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,פלוגה,16 לוחמים,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",האמרים,,סיירת יעל,,,,,,,,,
Combat Engineering Reconnaissance Company 601,,,Combat Engineering Reconnaissance Company 601,Combat Engineering Reconnaissance Company 601,,1994,,Engineering,Center,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowy Slope,מדרון מושלג,,Snowy Slope,Snowy Slope,,1994,,Engineering,General,Hacking Unit,,,,,,,,כשלון החילוץ של נחשון וקסמן,,,פריצה חמה וקרה,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egoz 621,יחידת אגוז אנטי גרילה ולוחמה זעירה,,Egoz Reconnaissance Unit,Egoz Reconnaissance Unit,,1995,,Regional,North,Visint,,,,,,,,המאבק עם חיזבאללה בדרום לבנון,,נמוכה,לוחמת אנטי גרילה בתוואי השטח של דרום לבנון,"בלוחמה בגזרת הר חרמון, בט""ש גדה מערבית ועזה",,צפון,"חי""ר גלוני",,,16 חודשים,,"טירונות חי""ר ואימון מתקדם (7 חודשים); שלב מכין (חודשיים); שלב לחימה בסיסי; קורס צניחה (שבועיים); שלב לחימה מתקדם; הכוללים לוחמת שטח בתנאים שונים (אזורים מיוערים, לחימת סלעים, הסוואה ועוד, אימונים בתנאים קיצוניים בחרמון היחידה הוכשרה בבסיס אלייקים בבית ספר לוחמת גרילה שהוקם עבורה, פורק עם היציאה מלבנון והוקם מחדש אחרי מלחמת לבנון השניה",,,,,,,,,"סיירת אגוז, גולני",,, ארז צוקרמן, משה (צ'יקו) תמיר,,,,37,
Yahalom Combat Engineering Unit for Special Operations,"יהל""ם יחידת הנדסה למשימות מיוחדות",,Yahalom Combat Engineering Unit for Special Operations,Yahalom Combat Engineering Unit for Special Operations,,1995,,Engineering,General,COIN,,,,,,,,צורך ביחידת עלית של חיל ההנדסה שמשלבת תחומי התמחות,,גבוהה נמוכה,"ביצוע הריסות מדויקות, חבלה בתשתיות האויב, הכנת מטענים ופצצות, טיפול בחומרי נפץ (כולל פיצוץ מדויק), נטרול מטעני חבלה, הנדסה ופריצה בים וביבשה, פינוי שדות מוקשים, איתור והשמדת סליקים, מעברים תת-קרקעיים ומנהרות הברחה ותופת, וביצוע שאר משימות מיוחדות.",,מחנה סירקין,הנדסה,הנדסה,,"גיוס לחיל הנדסה, טירונות, מעבר גיבוש בן חמישה ימים",16 חודשים,,"טירונות פלס 5,  אימוני חי""ר בסיסי ומתקדם, כולל הכשרות הישרדות, ניווט, קליעה, לוחמה זעירה, קרב מגע, לוחמה בטרור, טיפוס גלישה וחילוץ, לוחמה בשטח בנוי, צניחה ועוד, כמו גם הכשרה מקצועית בתחומי ההנדסה הקרבית. הכשרה פיקודית. חלוקה למגמות.",,,,"חמש פלגות מבצעיות (סיירת יעל, פלגות ס""פ וספי""ר, סמו""ר, מדרון מושלג) וארבע פלגות האמונות על בניין הכוח",,,,,"יחס""פ וסיירת יעל",,,,,,,,,
 Target Field Intelligence Unit 5707,"גדוד נשר 5707 תצ""מ תצפית מטרות",,Battalion for Air Assignments (Shaldag) 5101,Battalion for Air Assignments (Shaldag) 5101,Command of the Special Air Forces,1996,2003,Air force,Palamachim,BDA,,,,,,,,,מיזוג עם שלדג,,הערכת נזק של מתקפות אויר בזמן אמת ,,,"כא""מ - כוחות אויר מיוחדים",אויר,,,,,,,,,,,,,,,,,,,,,,,
"Matilan Border Patrol - intelligence, observation, interception, mobile warfare","מתיל""ן ",,"Matilan Border Patrol - intelligence,observation,interception,mobile warfare","Matilan Border Patrol - intelligence,observation,interception,mobile warfare",,1996,,Police,North,,,,,,,,,,,"נמוכה - בט""ש","מארבים, תצפיות, יירוט ולוחמה ניידת. איסוף מודיעין מבצעי בתחומי פח""ע.",איסוף מודיעין מבצעי בתחום הפלילי,,"רמון, ירושלים שפלה","מג""ב כפיפות לצה""ל ולשב""כ",,"חיילים סדירים, השלמת טירונות, גיבוש בן יום",טירונות רובאי חמש קורס של חמישה שבועות,,"מארבים, תצפיות, יירוט, לוחמה ניידת ",,,,ארבע יחידות תחת שלוש חטיבות מרחביות,,,,,מושווה ליחידת אגוז,,,,,,,,,
Visual Intelligence Battalion 1996,,,Visual Intelligence Battalion 1996,Visual Intelligence Battalion 1996,,1996,,Field Intelligence,,SAM,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stinger Anti Aircraft Unit,ברקן,,Stinger Anti Aircraft Unit,Stinger Anti Aircraft Unit,,1998,2012,,General,SAM,,,,,,,,לקחי מלחמת המפרץ,,,"יחידת האב""כ הסדירה השניה בצה""ל",,,גוש דן,פיקוד העורף,,,,,,,,,,,,,,,,,,,,,,,
,"יג""ל",,,,,2000,,Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פלגת יחמ""ם א' ""פלגת האינדיאנים""",,,,,2000,,Field Intelligence,,,,,,,,,,,,,ויזינט - מודיעין קרבי,,,,איסוף קרבי,,,,,"פעילות מתוך מוצבים, פעילויות רגליות בשטח",,,,,,,,,גדוד שחף,,,,,,,,,
Almagor,,,Almagor,Almagor,,2000,,Field Intelligence,North,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nesher Eagle 414 ,פלוגה ייעודית גדוד נשר 414 הנודדת,,The Nesher (Eagle) 414,The Nesher (Eagle) 414,,2000,,Field Intelligence,South,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,,,,ויזינט - מודיעין קרבי,,,רצועת עזה גבול מצרים,איסוף קרבי,,,,,,,,,,,,,,,,,,,,,,,
The Netz Accipiter 636 ,פלוגת נץ 636 ,,The Nitzan 636,The Nitzan 636,,2000,,Field Intelligence,Center,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,,,,ויזינט - מודיעין קרבי,,,גדה מערבית,איסוף קרבי,,,,,,,,,,,,,,,,,,,,,,,
The Shahaf Seagull Battalion,"שחף - פלגת יחמ""ם ב' ""פלגת מוביל"" מדלגת 869 שחף",,The Shahaf (Seagull) Battalion,The Shahaf (Seagull) Battalion,,2000,,Field Intelligence,North,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,"הפיכת צס""מ ליחידה סדירה",מיזוג עם שחף,,"ויזינט - מודיעין קרבי סגירת מעגלי אש, איתור מחבלים, משגרי קטיושות, מטרות תשתית וסיוע למערכות הגנה על גדודים שפועלים בשטח","איתור חדירות, איסוף מידע על היערכות חיזבאללה",,"צפון אוגדה 91 גבול סוריה, בעיקר לבנון",איסוף קרבי,,,,,,,,,,,,,,ניצן,,,,,,,,,
,גבעול (מילואים),,,,,2001,,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter-NBC and purifiers (Res),,,Counter-NBC and purifiers (Res),Counter-NBC and purifiers (Res),,2001,,Engineering,General,CBRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golani Reconnaissance Battalion (Gadsar),"גדס""ר גולני",,"Golani Engineering company,Reconnaisance Platoon Golani,Golani Anti-Tank Company 1977",,,2001,,Infantry,North,Reconnaissance,,,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,,,,,,,,,,,,,,,,,,,,
Senior General Staff Security Unit,"צה""ל אבטחת אישים",,Senior General Staff Security Unit,Senior General Staff Security Unit,,2001,,,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givati Reconnaissance Battalion (Gadsar),"גדס""ר גבעתי גדוד שועלי שמשון",,Givati Reconnaissance Battalion (Gadsar),Givati Reconnaissance Battalion (Gadsar),,2002,,Infantry,South,Reconnaissance Battalion,,,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,,,,,,,,,,,,,,,"ון אשרוב, עופר וינטר, גיא ביטון, גור שרייבמן, חזי נחמה, אליעד מאור (מואטי)",,,,,
Nahal Reconnaissance Battalion (Gadsar),"גדס""ר נח""ל",,Nahal Reconnaissance Battalion (Gadsar),Nahal Reconnaissance Battalion (Gadsar),,2002,,Infantry,Center,Reconnaissance Battalion,,,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,,,,,,,,,,,,,,,,,,,,
Paratroopers Reconnaissance Battalion 5135,"גדס""ר צנחנים 5135 גדוד שרף",,Paratroopers Reconnaissance Battalion (Gadsar),Paratroopers Reconnaissance Battalion (Gadsar),,2002,,Infantry,Center,Reconnaissance Battalion,,,,,29.11,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,"להוביל את חטיבות החי""ר במוכנות ללחימה הקונבנציונאלית ובלחימה היום יומית בשטחי איו""ש ואזח""ע.","אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,"חי""ר",,,12 חודשים ,,,,,,,,,,,חטיבת הצנחנים,,,,,,,,,
Masada Prison Service,מצדה,,Masada Prison Service,Masada Prison Service,,2003,,Prison Service,,Intervention force,,,,,,,,האינתיפאדה השנייה,,"נמוכה - בט""ש",השתלטות על  התפרעויות ומהומות בבתי הכלא,"פעילות מסוערבת סיוע לימ""ס",,כלל ארצי,"שב""ס",,"בוגרי יחידות קרביות, מבדקים מיונים",,,,מקצועי קבע,,,,," רובי ציד מדגם Remington 870, תמ""ק עוזי, מטולי רימונים מדגם 'רינגו' המשמשים לירי רימוני גז, שלל אמצעי ראיית לילה וצייני לייזר.",,,,,,,,,,,,
Samoor platoon,"סמו""ר סליקים ומנהרות",,Samoor platoon,Samoor platoon,,2003,,Engineering,South,Caches and tunnels,,,,,,,,הופעת המנהרות באיזור רצועת עזה ,,נמוכה,"איתור מנהרות, הריסתן, איתור סליקים, לוחמה בתווך תת קרקעי","בט""ש",,"עזה, ציר פילדלפי",הנדסה,,,,,הפעלת רובוטים,,,,,,,,,צוות המנהרות שפעל באיזור עזה משנת 2002,"התמזגה עם יהל""ם ב-2004",,אביב חקאני ,"דימה שוורץ, ניר דרוקר",,מידת היוקרה של צוות המנהרות הראשון הייתה נמוכה ביותר והחיילם,,,
,ינשוף גדוד 76,,,,,2005,,Engineering,,,,,,,,,,פיגועי ה-11 בספטמבר,,,"לוחמה בטרור בלתי קונבנציונלי, אב""כ, מענה למגה פיגוע","בט""ש",,,הנדסה,,,7 חודשים,,"טירונות הנדסה בת ארבעה חודשים, אימון מתקדם בן שלושה חודשים",,,,,,,,,"אנקור, ברקן, גבעול",,,,"מרט מעיין, טל הפטמן, אופיר בן דוד",,,,,
Counter-NBC and purifiers Battalion,,,Counter-NBC and purifiers Battalion,Counter-NBC and purifiers Battalion,,2005,,Engineering,South,CBRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israeli Police Border Reconnaisance - South,סיירת מגב דרום,,Israeli Police Border Reconnaisance - South,Israeli Police Border Reconnaisance - South,,2008,,Police,South,COIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimon 845,סיירת רימון החדשה,,Granade Rimon,"""The 89th """"Oz"""" Brigade""",,2010,2015,Regional,South,COIN,,,,,,,,"מבצע עופרת יצוקה,  התערערות היציבות בגבול עם סיני",,נמוכה,"לחימה ברצועת עזה, ובחדירות המחבלים מחצי האי סיני בעומק הנגב, התמחות בלוחמה במדבר.","מיועדת לטפל באירועי פח""ע בגזרה הדרומית",,דרום,"חי""ר",,"פיקוד מבוסס על קצינים מיחידות עלית. גיוס צוות סדיר ראשון ישירות ליחידה, גיבוש לגדס""ר גבעתי, נופלי טיס",,,"טירונות, לש""ב, ניווטים במדבר ובמרחבים אורבניים, לוט""ר, סיור, עם גדס""ר גבעתי, הכשרת לוט""ר ארוכה במיוחד, יירוט פח""ע, ומגוון הכשרות הקשורות להישרדות במדבר – ניווטי מדבר, ניווטי כוכבים, תנועה בשטח מדברי, עקבות, בעלי חיים, איך מוצאים מחסה ומזון.",,,,,,,,,חטיבת גבעתי,,,"רס""ן בני, איש 669 ופלחה""ן גבעתי",,,היחידה פעלה לטפח תרבות ייחודית מיום הקמתה. זיקה ליחידת רימון המקורית אך שמירה על מרחק מזיהוי עמה.,,,
Unit Yanmam Airborne Anti Aircraft Unit,"ינמ""מ ",,Maglan 212,,,2012,,Infantry,General,SAM,,,,,,,,,,,"הפעלת אמצעי נ""מ ניידים מעבר לקווי אויב לשם הגנה אווירית בזמן מינימלי ליחידות עומק",,,,מערך ההגנה האווירית תחת כנף 168,,כמו מגלן,,,"טירונות בבסיס האימונים החטיבתי של צנחנים, הכשרת מגלן, קורס מ""כים ייעודי, בחלקו האחרון של המסלול תכנים ייעודים על פי תחומי העיסוק של הצוות",,,,,,,,,עוצבת האש,,,,,,,,,
"The 89th ""Oz"" Brigade",,,"Rimon 845,Maglan 212,Egoz Reconnaissance Unit,Duvdevan (Unit 217)",,,2015,,Infantry,,Commando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayeret Charuv 93,סיירת חרוב ,,Sayeret Haruv 484,,,2017,,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
